Purchase_Frequency,Annual_Spending,Website_Visits,Customer_Score,Customer_Type
-3.707133217665975,8.550138686538778,1.8740414012130309,-1.017346876260945,VIP
8.738083096171291,-8.577484923078522,-5.03899021106978,-2.7279882512865727,New
7.466171250418842,-6.300969108456638,-4.289986702899265,-11.859748075451037,Regular
-1.8129851919748798,7.355643610667181,-8.757525084134972,7.526980701848502,VIP
3.4636926425035917,,-1.8911080929458564,12.197134321826328,VIP
-7.438284154465897,-5.095108358045716,-7.655233695202148,7.141450633856521,New
-4.630627502568143,-6.111860791084423,-6.80617245953861,8.897595020307733,Regular
5.214697798807845,-7.1203651395354575,-6.445383831397984,-7.690471730765736,Regular
-6.59583382802315,-5.22478290697333,-4.87328571627263,4.22898416843158,VIP
-0.07700437058776455,2.6629699423108537,-14.898049424858469,8.083809489037984,Premium
-5.1747447629138605,-7.655776484759587,-8.027911875414905,6.998165279579491,VIP
4.497819402798555,-6.71460664700904,-3.8477686328218863,-7.774139476739196,VIP
6.483653319390144,-8.78075828584062,-7.9930909253633855,-6.213413124640288,VIP
-4.467330853893343,8.209132337684132,6.673671879652275,-1.103991107144156,VIP
-0.5316177554451329,,8.146864613568349,-1.53145797303997,New
8.426252736517164,-4.642559507719378,-7.265916070405687,-3.4335852945207037,Regular
-6.765697591391736,-8.50911046229049,-3.4784675333226964,8.908320471293731,New
-0.663031173064224,9.442706831173247,4.3507581302575,1.2204104449675102,New
-2.598762720827629,12.925895267733337,-1.9094839239962598,4.027925944878792,New
4.3983598303293014,2.7191924167649013,-11.834346792454845,10.62799497200615,VIP
-1.6051075604336649,7.401486741685511,5.543367849999136,5.818261100105655,Premium
-10.323800611043998,-9.224672193063753,-7.550739588614361,8.607987792779225,Regular
-6.047624478178786,7.962672821284924,3.7830925449111774,-0.032523489113315485,Premium
-2.2605360878630183,7.546132491334441,-9.874659727215496,12.49273782317354,New
2.2157210039832216,2.00824105260025,-5.780499920909808,10.745472152451534,New
3.6357401088270445,7.583030449751781,-12.000618765534213,11.113325693235984,Premium
,4.537436022111428,-8.733920174641053,14.088624141279602,Premium
-2.465991590448528,-5.867655315873558,-11.990537642473623,9.618177783135643,Premium
-5.59200797538615,2.751719133360856,-7.411101479903093,10.1624370159502,New
3.747660214141957,3.158400376206318,-9.028078909557909,9.429678045194374,New
